Symbol,Bid,Ask,Price,TPrice,Volume,OI,NS,Strike
RUT,1311.4,1315,1240.4,0,0,2,S,750
RUT,1261.6,1265.2,0,0,0,0,S,800
RUT,1211.8,1215.4,0,0,0,0,S,850
RUT,1162,1165.5,1357.5,0,0,1,S,900
RUT,1112.3,1115.8,579.16,0,0,0,S,950
RUT,1062.6,1066,975,0,0,9,S,1000
RUT,1012.9,1016.3,0,0,0,0,S,1050
RUT,963.2,966.7,951.85,0,0,19,S,1100
RUT,913.6,917,706,0,0,11,S,1150
RUT,864,867.4,787.96,0,0,13,S,1200
RUT,814.5,817.9,0,0,0,0,S,1250
RUT,765.1,768.4,851.29,0,0,0,S,1300
RUT,715.8,719.1,0,0,0,0,S,1350
RUT,666.7,670,876.82,0,0,2,S,1400
RUT,617.8,621.1,416.91,0,0,101,S,1450
RUT,569.2,572.4,633.31,0,0,940,S,1500
RUT,521,524.2,0,0,0,0,S,1550
RUT,473.3,476.4,538,0,0,42,S,1600
RUT,426.2,429.3,677.17,0,0,39,S,1650
RUT,380,382.9,371.22,0,0,25,S,1700
RUT,334.8,337.7,0,0,0,0,S,1750
RUT,290.9,293.6,336,0,0,38,S,1800
RUT,248.4,251,241.8,0,0,1,S,1850
RUT,240.2,242.7,236.1,0,0,1,S,1860
RUT,232,234.5,232.3,0,0,1,S,1870
RUT,223.9,226.3,0,0,0,0,S,1880
RUT,215.9,218.3,252.1,0,0,1,S,1890
RUT,208,210.3,519.52,0,0,6,S,1900
RUT,200.1,202.4,188.2,0,0,3,S,1910
RUT,192.4,194.6,0,0,0,0,S,1920
RUT,184.7,186.9,131.5,0,0,228,S,1930
RUT,177.2,179.4,188.11,0,0,174,S,1940
RUT,169.7,171.9,183.12,0,1,876,S,1950
RUT,162.4,164.5,155.86,0,0,150,S,1960
RUT,155.1,157.3,177.7,0,0,64,S,1970
RUT,148,150,111.84,0,0,301,S,1980
RUT,141.1,143.1,139.7,0,0,793,S,1990
RUT,134.2,136.1,138.07,0,2,3509,S,2000
RUT,127.5,129.4,121,0,0,230,S,2010
RUT,120.9,122.8,165.12,0,0,42,S,2020
RUT,114.5,116.3,157.75,0,0,724,S,2030
RUT,108.2,110,141.66,0,0,1042,S,2040
RUT,102,103.8,113.6,0,10,4138,S,2050
RUT,96.3,97.8,139.34,0,0,416,S,2060
RUT,90.5,91.9,94,0,69,415,S,2070
RUT,84.9,86.3,90,0,177,402,S,2080
RUT,79.4,80.8,88,0,360,152,S,2090
RUT,74.1,75.4,75.8,0,643,1383,S,2100
RUT,69,70.3,91.1,0,0,522,S,2110
RUT,64.1,65.4,70.48,0,2,430,S,2120
RUT,59.4,60.7,75.68,0,0,154,S,2130
RUT,54.9,56.1,60.73,0,4,228,S,2140
RUT,50.7,51.8,52.95,0,5,1439,S,2150
RUT,46.6,47.7,60.14,0,0,243,S,2160
RUT,42.7,43.8,53.2,0,4,478,S,2170
RUT,39.1,40.2,40.75,0,1,675,S,2180
RUT,35.7,36.8,46.58,0,13,320,S,2190
RUT,32.5,33.5,34.03,0,101,1966,S,2200
RUT,29.5,30.6,43.55,0,0,235,S,2210
RUT,26.7,27.8,24.4,0,0,47,S,2220
RUT,24.2,25.2,31,0,4,7,S,2230
RUT,21.9,22.9,28.7,0,3,481,S,2240
RUT,19.8,20.7,24.2,0,1,521,S,2250
RUT,17.8,18.7,27.3,0,0,136,S,2260
RUT,16,16.9,19.4,0,0,36,S,2270
RUT,14.4,15.3,16.1,0,5,32,S,2280
RUT,12.9,13.8,19.62,0,0,53,S,2290
RUT,11.6,12.4,13.05,0,9,557,S,2300
RUT,10.4,11.2,15.26,0,0,27,S,2310
RUT,9.4,10.2,10.1,0,2,301,S,2320
RUT,8.4,9.2,11.1,0,0,9,S,2330
RUT,7.5,8.3,13.5,0,0,18,S,2340
RUT,6.7,7.5,12.5,0,0,540,S,2350
RUT,6,6.8,6,0,0,13,S,2360
RUT,5.4,6.2,10.73,0,0,22,S,2370
RUT,4.9,5.6,6.2,0,6,99,S,2380
RUT,4.4,5.1,9.6,0,0,6,S,2390
RUT,3.9,4.7,5.2,0,1,1790,S,2400
RUT,3.5,4.3,5.7,0,0,105,S,2410
RUT,3.2,3.9,6.2,0,0,6,S,2420
RUT,2.85,3.6,6.98,0,0,11,S,2430
RUT,2.6,3.3,4.2,0,0,3,S,2440
RUT,2.35,3.1,2.52,0,0,1024,S,2450
RUT,2.15,2.8,24.4,0,0,4,S,2460
RUT,1.95,2.6,7.68,0,0,42,S,2470
RUT,1.8,2.45,3.6,0,0,245,S,2480
RUT,1.65,2.25,4.4,0,0,205,S,2490
RUT,1.5,2.15,2.13,0,1,1136,S,2500
RUT,1.35,2,5.59,0,0,62,S,2510
RUT,1.25,1.9,3.4,0,0,20,S,2520
RUT,1.15,1.8,1.99,0,0,0,S,2530
RUT,1.05,1.7,1.37,0,0,4,S,2540
RUT,0.95,1.6,1.19,0,0,705,S,2550
RUT,0.9,1.55,17.38,0,0,51,S,2560
RUT,0.8,1.45,20.44,0,0,2,S,2570
RUT,0.75,1.4,3.14,0,0,31,S,2580
RUT,0.7,1.35,71.77,0,0,1,S,2590
RUT,0.65,1.3,1.15,0,0,1238,S,2600
RUT,0.6,1.25,25.1,0,0,2,S,2610
RUT,0.55,1.2,1.1,0,0,241,S,2620
RUT,0.5,1.15,2.6,0,0,4,S,2630
RUT,0.5,1.15,5.2,0,0,6,S,2640
RUT,0.45,1.1,20.43,0,0,15,S,2650
RUT,0.4,1.05,14.51,0,0,2,S,2660
RUT,0.4,1,13.56,0,0,2,S,2670
RUT,0.35,1,17.41,0,0,1,S,2680
RUT,0.35,0.95,11.17,0,0,3,S,2690
RUT,0.3,0.9,0.55,0,0,23,S,2700
RUT,0.3,0.9,0,0,0,0,S,2710
RUT,0.25,0.85,9.5,0,0,287,S,2720
RUT,0.25,0.85,6.1,0,0,303,S,2730
RUT,0.25,0.8,15.7,0,0,6,S,2740
RUT,0.2,0.8,0.45,0,0,1350,S,2750
RUT,0.2,0.75,35.6,0,0,1,S,2760
RUT,0.2,0.75,0,0,0,0,S,2770
RUT,0.15,0.7,6.77,0,0,17,S,2780
RUT,0.15,0.7,1.5,0,0,868,S,2800
RUT,0.1,0.6,0.85,0,0,9,S,2850
RUT,0.05,0.55,3.51,0,0,1609,S,2900
RUT,0,0.5,15.31,0,0,315,S,2950
RUT,0,0.45,0.85,0,0,16,S,3000
RUT,0,0.4,7.18,0,0,1,S,3050
RUT,0,0.4,1.07,0,0,9,S,3100
RUT,0,0.35,0.17,0,0,17,S,3150
RUT,0,0.35,6.73,0,0,6,S,3200
RUT,0,0.35,10.06,0,0,2,S,3250
RUT,0,0.3,0.34,0,0,5,S,3300
RUT,0,0.3,1.49,0,0,89,S,3350
RUT,0.05,0.3,0.12,0,0,369,S,3400
