Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-29,54.0099983215332,54.47999954223633,53.150001525878906,53.540000915527344,14832400,0,0
2021-11-01,53.560001373291016,55.33000183105469,53.40999984741211,55.11000061035156,14747000,0,0
2021-11-02,55.040000915527344,55.08000183105469,53.779998779296875,53.9900016784668,11571400,0,0
2021-11-03,53.68000030517578,54.54999923706055,53.099998474121094,54.529998779296875,9774200,0,0
2021-11-04,54.58000183105469,54.84000015258789,53.18000030517578,53.68000030517578,11284700,0,0
2021-11-05,54.11000061035156,54.18000030517578,52.810001373291016,53.150001525878906,13273800,0,0
2021-11-08,53.45000076293945,54.31999969482422,53.15999984741211,54.08000183105469,10565500,0,0
2021-11-09,54.11000061035156,54.93000030517578,53.15999984741211,53.70000076293945,11230100,0,0
2021-11-10,53.25,53.97999954223633,51.75,52.33000183105469,18858400,0,0
2021-11-11,52.59000015258789,52.84000015258789,51.84000015258789,51.97999954223633,13972100,0,0
2021-11-12,52.29999923706055,52.810001373291016,51.91999816894531,52.25,13287600,0,0
2021-11-15,52.40999984741211,53.90999984741211,52.40999984741211,52.95000076293945,21965600,0,0
2021-11-16,52.86000061035156,53.0,51.880001068115234,52.11000061035156,10743600,0,0
2021-11-17,52.029998779296875,52.13999938964844,50.58000183105469,50.61000061035156,16968800,0,0
2021-11-18,50.650001525878906,50.83000183105469,48.459999084472656,48.599998474121094,22373500,0,0
2021-11-19,49.119998931884766,50.369998931884766,48.400001525878906,48.400001525878906,26162400,0,0
2021-11-22,48.5099983215332,48.54999923706055,46.52000045776367,47.310001373291016,26620100,0,0
2021-11-23,47.20000076293945,47.459999084472656,45.97999954223633,47.13999938964844,19663700,0,0
2021-11-24,46.65999984741211,47.63999938964844,46.15999984741211,47.52000045776367,9979500,0,0
2021-11-26,46.63999938964844,47.349998474121094,46.22999954223633,47.06999969482422,7861300,0,0
2021-11-29,51.880001068115234,52.27000045776367,45.619998931884766,45.779998779296875,71686600,0,0
2021-11-30,45.5099983215332,45.849998474121094,43.0,43.939998626708984,36213400,0,0
2021-12-01,44.90999984741211,46.5,42.79999923706055,42.81999969482422,34082600,0,0
2021-12-02,43.060001373291016,43.15999984741211,41.75,42.650001525878906,24374800,0,0
2021-12-03,42.81999969482422,43.099998474121094,41.0099983215332,42.06999969482422,26133700,0,0
2021-12-06,42.11000061035156,44.720001220703125,41.75,44.470001220703125,26228700,0,0
2021-12-07,45.06999969482422,46.34000015258789,44.31999969482422,44.459999084472656,21200500,0,0
2021-12-08,44.599998474121094,46.20000076293945,44.34000015258789,45.720001220703125,18408200,0,0
2021-12-09,47.209999084472656,48.220001220703125,46.40999984741211,46.459999084472656,26145200,0,0
2021-12-10,46.599998474121094,46.599998474121094,44.970001220703125,45.560001373291016,14060600,0,0
2021-12-13,45.54999923706055,45.900001525878906,43.779998779296875,44.599998474121094,11710300,0,0
2021-12-14,44.040000915527344,44.689998626708984,43.70000076293945,44.349998474121094,11205400,0,0
2021-12-15,44.0,44.2400016784668,42.7400016784668,44.06999969482422,14962100,0,0
2021-12-16,44.43000030517578,45.029998779296875,42.720001220703125,43.130001068115234,13052600,0,0
2021-12-17,42.70000076293945,44.029998779296875,41.630001068115234,43.06999969482422,29138000,0,0
2021-12-20,42.369998931884766,43.27000045776367,41.790000915527344,42.97999954223633,12319500,0,0
2021-12-21,43.22999954223633,44.45000076293945,42.72999954223633,44.36000061035156,9537400,0,0
2021-12-22,44.04999923706055,44.560001373291016,43.630001068115234,43.900001525878906,10134800,0,0
2021-12-23,44.0,44.529998779296875,43.0,44.15999984741211,8977600,0,0
2021-12-27,44.209999084472656,44.91999816894531,44.130001068115234,44.33000183105469,8589700,0,0
2021-12-28,44.209999084472656,44.779998779296875,43.22999954223633,43.43000030517578,8831000,0,0
2021-12-29,43.16999816894531,43.54999923706055,42.560001373291016,42.7599983215332,8732900,0,0
2021-12-30,42.77000045776367,45.09000015258789,42.630001068115234,44.459999084472656,14541100,0,0
2021-12-31,44.34000015258789,44.7599983215332,43.18000030517578,43.220001220703125,9829600,0,0
2022-01-03,43.5,43.689998626708984,42.47999954223633,42.65999984741211,14431900,0,0
2022-01-04,42.849998474121094,42.970001220703125,40.36000061035156,40.849998474121094,21422400,0,0
2022-01-05,40.79999923706055,41.880001068115234,39.45000076293945,39.5,22008600,0,0
2022-01-06,39.5,40.439998626708984,38.689998626708984,39.59000015258789,16613400,0,0
2022-01-07,39.650001525878906,40.689998626708984,39.31999969482422,39.66999816894531,14669900,0,0
2022-01-10,39.33000183105469,40.029998779296875,38.220001220703125,39.970001220703125,14997300,0,0
2022-01-11,39.790000915527344,40.939998626708984,39.599998474121094,40.65999984741211,13815400,0,0
2022-01-12,40.880001068115234,41.47999954223633,39.77000045776367,40.25,10439000,0,0
2022-01-13,40.150001525878906,40.34000015258789,38.61000061035156,38.70000076293945,15075600,0,0
2022-01-14,38.43000030517578,39.04999923706055,37.5099983215332,38.439998626708984,14849800,0,0
2022-01-18,37.720001220703125,38.20000076293945,37.130001068115234,37.29999923706055,14896800,0,0
2022-01-19,37.130001068115234,38.279998779296875,37.0099983215332,37.349998474121094,19798000,0,0
2022-01-20,37.84000015258789,39.029998779296875,37.20000076293945,37.279998779296875,17688900,0,0
2022-01-21,36.900001525878906,37.08000183105469,34.79999923706055,34.81999969482422,25674100,0,0
2022-01-24,33.70000076293945,35.13999938964844,32.04999923706055,35.060001373291016,31916600,0,0
2022-01-25,34.220001220703125,34.9900016784668,33.619998931884766,34.16999816894531,19205800,0,0
2022-01-26,34.970001220703125,35.43000030517578,33.27000045776367,33.619998931884766,21377900,0,0
2022-01-27,34.13999938964844,35.13999938964844,33.810001373291016,33.84000015258789,16637300,0,0
2022-01-28,33.790000915527344,35.29999923706055,33.599998474121094,35.27000045776367,14368700,0,0
2022-01-31,35.43000030517578,37.560001373291016,35.34000015258789,37.5099983215332,17558300,0,0
2022-02-01,37.84000015258789,38.16999816894531,36.869998931884766,38.119998931884766,14628200,0,0
2022-02-02,38.290000915527344,38.290000915527344,36.25,36.5099983215332,18993000,0,0
2022-02-03,33.84000015258789,35.18000030517578,33.84000015258789,34.47999954223633,32803400,0,0
2022-02-04,35.65999984741211,37.439998626708984,34.7599983215332,36.939998626708984,23579600,0,0
2022-02-07,36.720001220703125,37.33000183105469,35.900001525878906,36.040000915527344,22770500,0,0
2022-02-08,35.52000045776367,36.27000045776367,35.150001525878906,35.97999954223633,17194900,0,0
2022-02-09,36.5,37.91999816894531,36.13999938964844,37.83000183105469,24473500,0,0
2022-02-10,36.560001373291016,39.099998474121094,36.220001220703125,37.08000183105469,48150300,0,0
2022-02-11,37.41999816894531,37.7599983215332,35.65999984741211,35.84000015258789,23516800,0,0
2022-02-14,35.619998931884766,36.61000061035156,35.5,35.689998626708984,15212600,0,0
2022-02-15,36.22999954223633,37.0,36.060001373291016,36.97999954223633,21350400,0,0
2022-02-16,35.970001220703125,36.279998779296875,35.52000045776367,36.2400016784668,17602400,0,0
2022-02-17,35.9900016784668,36.61000061035156,35.31999969482422,35.43000030517578,16524400,0,0
2022-02-18,35.4900016784668,35.65999984741211,34.099998474121094,34.31999969482422,15339000,0,0
2022-02-22,33.65999984741211,33.93000030517578,32.75,32.93000030517578,16913100,0,0
2022-02-23,33.25,33.459999084472656,32.41999816894531,32.7599983215332,15102100,0,0
2022-02-24,31.299999237060547,35.06999969482422,31.299999237060547,34.97999954223633,22551000,0,0
2022-02-25,35.119998931884766,35.29999923706055,34.130001068115234,35.290000915527344,15394900,0,0
2022-02-28,34.95000076293945,36.04999923706055,34.849998474121094,35.54999923706055,17962000,0,0
2022-03-01,35.5099983215332,36.130001068115234,34.709999084472656,35.560001373291016,17948000,0,0
2022-03-02,35.77000045776367,35.77000045776367,34.130001068115234,34.619998931884766,18255100,0,0
2022-03-03,34.900001525878906,35.18000030517578,33.45000076293945,33.4900016784668,18792000,0,0
2022-03-04,33.75,34.22999954223633,32.95000076293945,33.38999938964844,17504000,0,0
2022-03-07,33.5099983215332,33.880001068115234,32.400001525878906,32.41999816894531,18780200,0,0
2022-03-08,32.27000045776367,33.83000183105469,31.950000762939453,32.68000030517578,17410600,0,0
2022-03-09,33.54999923706055,34.529998779296875,33.29999923706055,34.369998931884766,16886000,0,0
2022-03-10,33.630001068115234,34.439998626708984,33.369998931884766,34.119998931884766,12583300,0,0
2022-03-11,34.040000915527344,34.11000061035156,32.880001068115234,33.0,15751900,0,0
2022-03-14,32.689998626708984,33.95000076293945,32.47999954223633,33.029998779296875,17551500,0,0
2022-03-15,33.119998931884766,34.52000045776367,33.0,33.970001220703125,14678000,0,0
2022-03-16,34.900001525878906,35.650001525878906,34.31999969482422,35.369998931884766,25197000,0,0
2022-03-17,35.209999084472656,37.709999084472656,34.88999938964844,37.29999923706055,30853100,0,0
2022-03-18,37.459999084472656,39.04999923706055,37.18000030517578,37.77000045776367,35946300,0,0
2022-03-21,37.70000076293945,37.88999938964844,36.63999938964844,37.439998626708984,20298700,0,0
2022-03-22,37.63999938964844,39.04999923706055,37.619998931884766,38.43000030517578,17162100,0,0
2022-03-23,38.0,38.75,37.58000183105469,38.0,12993600,0,0
2022-03-24,38.33000183105469,39.09000015258789,38.22999954223633,38.81999969482422,18281400,0,0
2022-03-25,38.9900016784668,39.470001220703125,37.689998626708984,38.599998474121094,20787500,0,0
2022-03-28,38.439998626708984,39.29999923706055,38.29999923706055,39.119998931884766,14225600,0,0
2022-03-29,39.47999954223633,40.959999084472656,39.38999938964844,40.689998626708984,17855400,0,0
2022-03-30,40.349998474121094,40.349998474121094,38.56999969482422,39.0,15804300,0,0
2022-03-31,39.11000061035156,39.22999954223633,38.40999984741211,38.689998626708984,13208300,0,0
2022-04-01,39.15999984741211,39.849998474121094,39.0,39.310001373291016,12122600,0,0
2022-04-04,47.869998931884766,51.369998931884766,46.86000061035156,49.970001220703125,268465400,0,0
2022-04-05,53.849998474121094,54.56999969482422,50.560001373291016,50.97999954223633,217520100,0,0
2022-04-06,50.040000915527344,52.869998931884766,49.29999923706055,50.77000045776367,159034700,0,0
2022-04-07,50.470001220703125,51.63999938964844,46.54999923706055,48.029998779296875,120844100,0,0
2022-04-08,47.29999923706055,48.439998626708984,45.83000183105469,46.22999954223633,83262600,0,0
2022-04-11,45.75,47.97999954223633,44.709999084472656,47.0099983215332,117814000,0,0
2022-04-12,47.029998779296875,47.54999923706055,44.439998626708984,44.47999954223633,60794000,0,0
2022-04-13,44.79999923706055,46.33000183105469,44.54999923706055,45.849998474121094,44306700,0,0
2022-04-14,48.369998931884766,48.5,44.720001220703125,45.08000183105469,257199200,0,0
2022-04-18,46.2400016784668,48.72999954223633,44.36000061035156,48.45000076293945,153119600,0,0
2022-04-19,47.29999923706055,48.5,45.0,46.15999984741211,125776000,0,0
2022-04-20,46.34000015258789,47.11000061035156,45.029998779296875,46.720001220703125,63360000,0,0
2022-04-21,45.5099983215332,47.939998626708984,45.5,47.08000183105469,70413600,0,0
2022-04-22,47.77000045776367,49.72999954223633,47.4900016784668,48.93000030517578,76329600,0,0
2022-04-25,51.02000045776367,52.290000915527344,50.2400016784668,51.70000076293945,176803600,0,0
2022-04-26,51.56999969482422,51.619998931884766,49.43000030517578,49.68000030517578,115020400,0,0
2022-04-27,49.060001373291016,49.2599983215332,47.81999969482422,48.63999938964844,59106900,0,0
2022-04-28,49.0099983215332,49.91999816894531,47.959999084472656,49.11000061035156,43745700,0,0
2022-04-29,49.45000076293945,50.25,48.7400016784668,49.42499923706055,19726880,0,0
